question,answer
What spiral galaxy located southeast of β Arietis is relatively bright and shows obvious nebulosity and ellipticity in an amateur telescope? ,NGC 772
Have Afghan refugees who stayed in Pakistan become fluent in Urdu?,Yes
Is Bombay Stock Exchange in Mumbai the oldest  stock exchange in Asia?,Yes
Where was the eventual capital of Western Jin?,Chang'an.
Who was the father of Yu the Great?,Gun
Who suggested another visualization than Ptolemy?,H. A. Rey
Is it prohited to sell alcohol in Gujarat?,Yes
Is Charmander in Pokémon Sword and Shield?,yes
What is Arabic's classification as a language?,Central Seimitic
Who featured in the film Pokémon: The First Movie as the main antagonist?,Mewtwo
Where was the bishop of Braga in Portugal in 1047 from?,Moissac
What ethnolinguistic group is the majority in Pakistan?,Punjabi Muslims
How many speakers of English was estimated by 2005?,Over 2 billion
What is the meaning of the second word part of the Persian original word of Punjab?,water
Does Russian have the highest number of Russian speakers?,Yes
Where is Nigerian English spoken?,Nigeria
How many princes did Wen massacre?,59
Is Virgo the largest constellation in the sky?,No
How many major gouprs of dialects have been recognized traditionally?,Seven
What are the most powerful and rare of Pokémon referred to as?,Legendary
How many vowels are in the Indonesian language? ,six
Does Indonesian always end clauses with verbs?,No
Which Pokemon game is Igglybuff introduced in?,Pokémon Gold and Silver
How many exoplanet systems have been found in Aquarius as of 2013?,Twelve
In which year did the British East India Company form their first base in India?,1614
What origins did the Li family have? ,Ethnic Han
How many different Pokémon can Eeve evolve into?,Eight
Why did families throughout Han China made ritual sacrifices of animals and food to deities?,They believed that these items could be utilized by those in the spiritual realm.
What is the goal of the Argonauts?,the Golden Fleece
What was adopted as China's official language in the early 1900s?,Standard Mandarin
Is Gujarat known for its manufacturing?,Yes
What is the name of the kinds of food that soak wheat in water such as modern wonton in the Tang dynasty?,Boiled cake
How long does the journey from Guwahati to Shillong take?,3 to 4 hours
Is it true that Venusaur appears in every main Pokémon title since its first appearance?,Yes
How did Han scholars such as Jia Yi potray the previous dynasty?,As a brutal regime
What made up seven tenths of  civilians' food udring the Ming dynasty?,rice
Why was Jigglypuff chosen to appear in the Super Smash Bros series?,It's similarities to Kirby
Is Mewtwo's appearance different from Mew's?,Yes
How does Ash stop the fighting caused by the main antagonist of Pokémon: The First Movie?,sacrificing himself
How does Punjab contribute to India and Pakistan's economy?,agriculture
Is there an abundance of wood as a natural resource in Uttar Pradesh?,Yes.
Has the Chinese capital been within the Mandarin-speaking area for most of the last century?,Yes
Which dialect of English became the standark written variety in the 9th century?,The West Saxon
Who killed the monster Humbaba?,Gilgamesh
Which twins are associated with Gemini?,Castor and Pollux
The classic account of the Shang comes from what texts?,"The Book of Documents, Bamboo Annals and Records of the Grand Historian"
Who founded the Vijayanagara Empire?,Harihara and Bukka
Is it true that the movement for a separate hill state began before 1960?,No
Is Mewtwo a good Pokemon?,Yes.
"Based on the 2001 census, what is the second most spoken language in Gujarat?",Bhili
Did Magikarp receive criticism for being useless or pointless?,Yes
Did Steven Bogos of The Escapist list Mewtwo as their favorite Pokémon? ,No 
Who was Emperor Ashoka the Great's grandfather?,Chandragupta Maurya
Who voices Psyduck in the Japanese animations?,Rikako Aikawa
What was China’s first imperial dynasty? ,Qin
Did the dealth penalty exist in reign of Emperor Taizong?,Yes
"In the Arp peculiar galaxy catalog, which two galaxies are together classified as Arp 78?",NGC 772 and NGC 770.
Is Spanish in the top three spoken languages by number of native speakers?,Yes
Did the Liang princes get along well?,no
Whose grandson ordered his edicts engraved in the rock at Junagadh?,Chandragupta Maurya
Is Mandarin a standardized language with few differences in dialects?,No
By what year did Emperor Xuanzong discard the policy of conscripting soldiers that were replaced every three years?,737
When were the boundary stones that mark the Aries constellation likely created?,1350 to 1000 BC
Is Snorlax the heaviest known Pokémon?,No.
Is Punjabi still used today?,Yes
Is German an official language in Luxembourg?,Yes
How many different designs are conceived by Game Freak's character development team?,151
What Eeveelution is the same type as Pikachu?,Jolteon.
What city is the capital of the Chen dynasty?,Jiankang.
What separates Mount Abu from the main Aravalli ranges?,West Banas River
Who identified 48 constellations in the second century?,Ptolemy
Who was Princess Pingyang's father?,Li Yuan
"Which pokemon was the strongest, in terms of stats, in the original pokemon games?",Mewtwo
Who were China's two most  famous poets?,Li Bai and Du Fu
In which level can Magikarp can learn Tackle move?,15
What constellation was considered to be the claws of Scorpius?,Libra
Does Kerala have the highest positive population growth rate in India?,No
What year did Liu Shao assasinate his father?,453
Who created Charmander?,Atsuko Nishida
Where did Jigglypuff first appear,Pokemon Red and Blue
Did British policies in colonial India promote Urdu?,Yes
Is the second dimmest one of the zodiacal constellations have an area of 506 square degrees?,Yes
What country is Indonesian the official language of?,Indonesia 
How many official lanauges does Singapore have?,4
"In what period was Spanish called ""romanz castellano?""",Middle Ages
Is Delta Cancri commonly known as southern donkey?,Yes
Who designed Bulbasaur?,Atsuko Nishida
When did pikachu first appear?,1966
Why is Eevee called Evolution Pokémon?,Because Eevee has an unstable genetic code which allows it to evolve into eight different Pokémons
"In which media Eevee could transform back and forth from the three evolutions Vaporeon, Jolteon, and Flareon?",Pokémon Adventures
What happened to Abby during the Twitch Plays Pokemon stream?,released into the wild
What did The Great Vowel Shift affect,stressed long vowels of Middle English
Can Mew and Mewto both learn every teachable move within the games?,No
Is there a space probe travelling on a trajectoy in front of Sagittarius?,Yes.
Is the Daytime Arietids a meteor shower?,Yes
What is the name of a highly concentrated and compact Shapley class II cluster in scorpius constellation?,Messier 80
Does Eevee have blue eyes?,No
Who voiced Squirtle after Eric Stuart?,Michelle Knotz
Is Maharasthra the fourteenth-highest ranking among Indian states in the human development index?,No
What is West Bengal's gross state domestic product (GSDP)?,₹13.54 lakh crore (US$170 billion)
Was Squirtle among one hundred Pokémon chosen as Japan's mascots in the 2015 FIFA World Cup?,No
Who was emperor when the Yellow River flooded?,Emperor Yao
What are the three official languages of the three subdivisions of Darjeeling district?,"Bengali, English, and Nepali"
Is Maharashtra the the fourth-most populous state in India,No
Where was Huhanye Chanyu's rival claimant to the throne killed?,"In modern Taraz, Kazakhstan."
What is the dominant religion in Kerala?,Hinduism
What is Gujarat's population rounded to the closest million in 2011?,60
In which state is the Taj Mahal located?,Uttar Pradesh.
Is Meghalaya predominantly an agrarian economy because of high productivity?,No
What language is the second most spoken language by number of native speakers?,Spanish
Who inspires Jigglypuff to pursue singing?,Ash
Did Forbes rank Pikachu as the most top-earning fictional character of 2003?,No
What is the official language of the sixth-largest Indian state by area?,Kannada
What is the Latin for Taurus,the Bull
Was the Sui dynasty long?,No
Whose kingdom spanned between rivers Hydaspes and Acesines?,King Porus
Which cities in Punjab have a city-proper population of over a million?,"Faisalabad, Rawalpindi, Gujranwala, Multan, Ludhiana, Amritsar, Jalandhar, Chandigarh, and Lahore"
"In 2012, about how many people spoke German as their mother tongue?",90 million
Is Indore the largest city in Madhya Pradesh?,Yes
How many emperors did the Sui dynasty have in total?,Two
What do Shang rituals feature?,divination and Sacrifice
How many people voiced detective Pikachu in the 2019 film Pokémon Detective Pikachu?,2 people
"Is ""entering tone"" a term in traditional Chinese phonology?",Yes
Where was Malay originally spoken in? ,Northeast Sumatra
Which dynasty does historians generally regard as a high point in Chinese civilization?,the Tang dynasty
What kind of language is French?,A romance language
How long did the Turkic Ghaznavids in the tenth century ruled after overthrew the Hindu Shahis?,157 years
Does Psyduck appear in Pokémon Soul Silver?,Yes
Does Kerala have a dry and maritime tropical climate?,No
Which Indian state includes the Kudalasangama?,Karnataka
Is Cancer one of the twelve constellations of the zodiac?,Yes
What languages are Ottawa federal government workers required to know?,English and French
Is Ancient North Arabian a dialect of Arabic?,No
Is Chandrakanta written by Munshi Premchand?,No
What are some of the tributaries of the longest river in Madhya Pradesh?,"the Banjar, the Tawa, the Machna, the Shakkar, the Denwa and the Sonbhadra rivers"
How many people are able to speak French according to the OIF?,321 million
How does Andhra Pradesh compare to other states in India in terms of mica production?,It is at the top
What is the proper name of Beta Aquarii?,Sadalsuud
Which state has the highest number of nationally protected monuments in India?,Uttar Pradesh
What implies that the Shang used chariots in royal hunts and in battle only as mobile command vehicles?,Oracle
Which Indian state was originally called State of Mysore?,Karnataka
Is Mandarin a group of Sinitic languages?,yes
Is Tang dynasty between the Sui dynasty and the Five Dynasties and Ten Kingdoms period?,Yes
Is Rajasthan's economy primarily agricultural and pastoral?,Yes
Did Ranthambore National Park become a part of Project Tiger in 1678?,No
Is Snorlax popular in the Kanto region?,Yes
What is the tallest tower in Gujarat?,GIFT One
Is Charmander a Grass type Pokemon?,No.
What empire existed in the Punjab between 1799 and 1849?,the Sikh empire
Spanish is part of what group of languages?,Ibero-Romance
What does Rajasthan literally mean?,The Land of Kings
"According to Shan Hai Jing, who was the great-grandfather of the founder of the Xia dynasty?",Huangdi
Does Red's team contain a Snorlax in the Pokémon Adventures manga?,Yes
How many stars are in Praesepe?,50
Is Spanish the third most spoken language in the world?,No
How long did the government following the INC stay in power?,Two years
What type of evolution does Eevee have?,Branching evolution.
Is English the most spoken native language in the world?,No
How many braids did all men in the Northern Wei dynasty have to roll and place on top of their head?,One
How many kingdoms were in Korea during the Sui dynasty?,Three
What was the Xia succeeded by?,Shang dynasty
Is Germany the most widely spoken language in Europe?,No
Was there any farming land not owned by nobles in Zhou dynasty?,No.
Has Squirtle received positive reception since it appeared in the Pokemon series?,Yes
Is Gujarat on the west coast of India?,Yes
Has Urdu been referred to as Hindi throughout History?,Yes
Coud artisan's son join government bureaucracies by taking exam?,No
What constellation is west of the constellation that means ram in Latin?,Pisces
What is the brightest star in the constellation Libra?,Beta Librae
What is the main river in West Bengal which divides into two branches?,Ganges
Why is the road th eonly means of transport in  Meghalaya?,A landlocked state
Does Russian have a similar present perfect tense as Portuguese? ,No
"As of 2005, how many estimated speakers of English?",2 billion
What rank does the Escapist have for Jigglypuff?,32nd
Why did Kubo Masakazu avoid the term clone for Mewtwo?,Because the word has a frightening feel to it
What is the last Shang capital?,Yin.
What made Bengali the official language of Bangladesh?,The 3rd article of the Constitution of Bangladesh
Is there any clue of medieval trade in the western Indian Ocean?,Yes.
"What is the Indonesian word for ""boyfriend""?",pacar
How long does the Sun appear in Sagittarius?,1 month
Which moves does Jigglypuff know in Super Smash Bros.?,"Sing, Rollout, Pound, and Rest"
What do adjectives modify?,Nouns
What color is Charizard's back?,Orange
What year was Xiao Xian's realm destroyed?,621
Is Spanish spoken in multiple geographical parts of Africa?,Yes
"Was the population of Meghalaya as of 2011 estimated at 8,300,000?",No
Where did Psyduck made its debut appearance in the Pokémon series?, Pokémon Red and Blue
Where is the Bombay Stock Exchange?,Mumbai
What is the largest tribal group in Meghalaya?,The Khasis
Who is Eevee?,A Pokémon species in Nintendo and Game Freak's Pokémon franchise
"As of 2016, were there 1.1 billion people spoke English as their first language?",No
Is Maharasthra divided into 10 divisions?,No
When was Maharashtra formed?,"May 1, 1960"
What constellation lies between Libra to the west and Saggittarius to the east? ,Scorpius
What state was created from Andhra Pradesh in 2014?,Telangana
What three deep-sky objects are most common in Aquarius?,"galaxies, globular clusters, and planetary nebulae"
What is the brightest star in Cancer?,Beta Cancri
What half of the Punjab province became part of India at the time of partition in 1947?,East Punjab
Why were hundreds of commoners buried alive with the royal corpse?,For use in the afterlife.
What official languages are used in more states then Arabic?,English and French.
How did Castor and Pollux end up in heaven?,"They were minor gods, and when Castor died, he was granted immortality and they were united in the heavens"
What form does Charizard have in Pokemon Sword and Shield?,Gigantamax
Which group does Hindi belong to?,Hindustani
Is Squirtles' skin dark blue? ,No 
Is Tamil Nadu the largest state in India?,No 
Did the Tang dynasty cooperate with the Western Turks?,no
Could the Mandate of Heaven be used to remove the Zhou rulers from power?,Yes
Where did South African Nataler Duetsch speakers come from?,Wartburg
What is the brightest star in the Cancer constellation?,Beta Cancri
Is Urdu the largest language of Andgra Pradesh?,No
What is the rank of Gujarat among Indian states and union territories in human development index?,21st
What has mostly replaced 8-bit encodings in communication protocols?,UTF-8
Which major city in Maharashtra has two separate districts?,Mumbai
Is Magikarp a strong swimmer?,no
Who was succeeded by his son Li Zhi (as Emperor Gaozong) in 649 CE?,Taizong
Do more people speak Urdu or Kannada in Karnataka?,Kannada.
What region has the most diverse group of accents in English?,The British Isles.
"What are the f-/h- doublets of the Spanish word for ""smith""?",Ferrero and herrero
Who designed Squirtle?,Atsuko Nishida
Is Kannada an unofficial language of Karnataka?,No
Until when did formal writing and poetry and fiction was done in Literary Chinese?,The early 20th century
Who created the man executed by Emperor Xiaowu of Northern Wei the Prince of Wei?,Emperor Wu
Where does the standard form of Chinese remain the local Cantonese?,Hong Kong and Macau
Was Hindavi the native language in the Delhi region of India?,Yes
Is Alpha Sagittarii the brightest star in the Sagittarius constellation?,No
Are French nouns inflected for both number and gender?,No
What is title of episode 11 of Pokémon Indigo League?,Charmander – The Stray Pokémon (The Stray Pokémon – Hitokage)
Are there eight main airports at Rajasthan?,No
How many modern constellations are there?,88
Are there multiple versions of different languages for Pokémon?,Yes
Is Virgo the smallest zodiac constellation?,No
When might Madhya pradesh have been inhabited?,In the Middle Pleistocene era.
Were there many people in the colony who could speak Dutch in 1940?,No.
Was Han China’s first imperial dynasty?,No
How many distinct syllables are in Mandarin?,1200
Do Tatsam words belong to one of the five principal categories of Hindi words?,Yes
Does Pikachu have long and yellow fur?,No
What proportion of English words are adjectives?,a quarter
Does Portuguese have roots from the latin language? ,Yes 
Can Charizards breathe intense flames that can melt any material?,Yes 
Is the constellation with the brightest star named Spica the largest constellation in the zodiac?,Yes
"Did the South Garo Hills district come into existence on April 12, 1992?",No
What was the name of Wang Tang's most famous work?,The Explanation of the Mean
What is the Trifid Nebula?,The Trifid Nebula is an emission nebula in Sagittarius that lies less than two degrees from the Lagoon Nebula.
"What are the names of the ""Three Giants of Yuanjia""?","Bao Zhao, Xie Lingyun, and Yan Yanzhi"
When did Northern Qi attacked Liang?,553
Was Taoism polarized in the Jin Dynasty?,Yes
Where is the largest variety of orchids found in Meghalaya?,"Mawsmai, Mawmluh and Sohrarim forests in the Khasi hills"
What is the brightest star of a constellation whose name means crab in Latin?,Beta Cancri
What causes a cultural presence of Portuguese speakers around the world?,Expansion during colonial times.
Did Sima Qian describe all events about Shang dynasty in detail?,No
What makes Bulbasaur similar to a bulldog?,top-heavy movement
The constellation Pisces is essentially invisible in or near any major city due to what?,Light pollution
Does Mewtwo communicate telepathically with the clone of Fuji's deceased daughter?,Yes
Is majority of the geographical area of West Bengal protected land?,No
Is Spanish the world's second most widely spoken Romance language?,No
Did the peasants in the western parts of the empire soon turned to banditry?,No
What kind of script is the Arabic alphabet?,abjad
Who founded the Shang dynasty?,Tang of Shang
What types of fishing rods are best for finding Magikarps?,Old and Good Rods
In which months does Punjab get the most rainfall?,July to September
Are there more than 150 different designs conceived by Game Freak's character development team?,Yes
What is Ash Ketchum's first Pokemon in the anime?,Pikachu.
How long is the term of the Governor or Maharashtra?,Five
Is Psyduck's dopeyness charmingly based on the comments?,Yes
Was the Bull of Heaven depicted standing in front of Inanna's standard?,Yes
How many seasons does Uttar Pradesh experience?,4
How many English words are estimated to be borrowed from French?,"40,000"
Did one of the descendants of Genghis Khan rule the Mughal Empire fron Dehli?,Yes
Are the capital and largest city of Karnataka the same city?,Yes
In which video game did Eevee receive a unique Gigantamax form with access to the unique G-Max Move G-Max Cuddle?,Pokémon Sword and Shield
What year was Kerala formed?,1956
Is French an official language of Luxembourg?,Yes
What color does NGC 7009 appear in a telescope?,Blue-green.
Is football a popular sport in most states of India?,No
Did the Battle of Fei River happen before 386?,Yes
Is Libra the biggest of the 88 constellations in size?,No
Were the Han dynasty and the Xiongnu friendly?,No
In which period did Tang extended control from north Vietnam to a point north of Kashmir?,The 7th and first half of the 8th century
During which period did Spanish colonialism spur on the introduction of the language to overseas locations?,the Early Modern Period
Is the Western astrological sign Scorpio the same as the astronomical constellation?,No
"Why are the stars at the tip of Scorpius' tail called ""the Cat's Eyes?""",Their proximity to each other
What alphabet is Russian written in?,Cyrillic
Which dynasties started carrying out admistration in Mandarin?,Ming and Qing
Is Capricornus' alpha star its brightest star?,No
Did the Qin dynasty use the Five Departments and Six Board system?,No
In which region is Yorkshire dialect spoken?,Northern 
Which dynasty preceded the Tang dynasty?,Sui
What is Venusaur also know as?,the Seed Pokemon
What was the name that Nintendo decide to use in substitution of “Lizardon” for American children?,Charizard.
When did Arabic first emerge?,in the 1st to 4th centuries CE
Did the Song dynasty exist when Emperor Wu of Liu Song conquered Qin?,No
Is Al-Khalil ibn Ahmad al-Farahidithe first Arabic Dictionry Compiler?,Yes
Were the Chen imperial family's members still imporant after the dynasty's downfall?,"Yes, they held high-ranking positions in the imperial courts of the Sui and Tang dynasties."
What fraction of the Legislative Council does  not retire every two years?,2/3
Approximately what percent of the top 500 companies in the IT sector are based in Maharashtra?,25
Had Gujarati merchents in the 16th century earned an international reputation for commerical acumen?,Yes
Is Qin Shi Huang  the second emperor of the Qin dynasty?,No
Was the Emperor Wu of Liu Song a Jin dynasty general?,Yes
When was Urdu chosen as an official language of Pakistan?,1947
What is Jigglypuff known in Japan?,Purin
What is the language spoken by 80.16% people in Uttar Pradesh?,Hindi
Are mangos considered higher value crops in Meghalaya? ,Yes
What encouraged the visit of merchants from areas like Cairo in the early 16th century?,The commercial acumen of Gujarati merchants.
What region is Charmander native to?,Kanto
"Who was nicknamed the ""Cultured Emperor""?",Emporer Wen
Is French the most spoken language in the United States?,No
Who was the chairman of the Writing and Grammar Committee for the Arabic Language Academy of Cairo in 1944?,Abd Al-Aziz Fahmi
Is the difference between Old High German and Old Saxon their respective vowel pronounciations?,No 
How did the Tang family conceal its Xianbei heritage?,By modifying its genealogy
"Did Alpha, Beta, and Gamma Arietis form a part of the porpoise?",Yes
"In Pokémon Sword and Shield, what form of Snorlax can learn the G-Max Replenish move?",Gigantamax
Where did the Hu Xia emperor Helian Chang flee westward?,Tongwancheng
Does NGC 6445 or NGC 6638 have a higher magnitude?,NGC 6445
Are there states in America where German is the most commonly spoken language at home after English?,Yes
Who produced the Pikachu series?,Satoshi Tajiri
What are the two chambers of Maharashtra's state parliament?,The Vidhan Sabha (Legislative Assembly) and the Vidhan Parishad (Legislative Council)
"In its Gigantamax form, does Charizard's damage increase when the sun is up?",yes
"After the fall of the Northern Song, which form of speech developed based on the dialects of the North China Plain?",Old Mandarin
Is Spanish in general more common than Mandarin?,No
In what animated film did Rina Hoshino and Kotaro Watanabe appear?,Detective Pikachu
Was Venusaur voted as one of the 20 best Pokémon in IGN's poll?,Yes
What is the official language of Karnataka? ,Kannada 
Was Pikachu one of Japan's mascots in the 2014 FIFA World Cup?,Yes
Was the Shang dynasty founded immediately following Xie?,No
Is the only wild population of the Asiatic lion in the world in Gujarat the Lion Forest National Park ?,No
Which is the brightest visible region in the Milky Way that has several embedded structures and superimposed dark nebulae?,Sagittarius Star Cloud
What state is the wettest region of India? ,Meghalaya
When did Eastern Han begin?,5 August AD 25.
What are the two nearest open clusters to Earth that Taurus hosts?,Pleiades and Hyades
"In the anime, which character owned a Psyduck?",Misty
How many years was Adi Shankaracharya's lifespan?,32 Years
Who was the mother of Chen Shubao?,Liu Jingyan
In which battle were the Xin armies defeated?,The Battle of Kunyang.
What is the most commonly taught Chinese variety?,Mandarin
What did Shang religious rituals feature?,Divination and Sacrifice
Are residents of Karnataka likely to speak Sanskrit primarily?,Yes.
Is Gandhunagar the capital and largest city of Gujarat?,No
During which period did Old Hindi become enriched with words from Persian to become Hindustani?,Period of the Delhi Sultanate
What are speakers of English called?,Anglophones
Why did the throne pass to Emperor Wen of Chen?,Chen Baxian fell ill
What is the first most spoken language in the world?,English
Was Northern Wei the first building its own Great Wall since Han dynasty?,Yes
Who was Squirtle designed by?,Atsuko Nishida
Is Eevee the game mascot for Pokemon Red?,No
Did the Muses request that Crotus be placed in the sky?,Yes.
Who founded the Mughal Empire?,Babur
Is Spanish the most spoken language in the United States?,No
What is the apparent magnitude of Sadalsuud?,2.91
Is Maharashtra the the fifth-most populous state in India,No
Where is Squirtle referred to as Zenigame?,Japan.
Which emperor defeated the Xiongnu?,Emperor Wu.
Where is the first technology park in India located?,Thiruvananthapuram
Who was Bulbasaur designed by? ,Atsuko Nishida 
Who instigated the Incident at Gaoping Tombs?,Sima Yi
What is the final evolution form of Charmander?,Charizard
What event marks the beginning of the history of the German language?,the High German consonant shift
Which industry is suffering and being remedied by promoting West Bengal as an investment destination? ,tourism industry
In which year did Indonesia declare its indepedndence?,1945
"What video games did Pikachu first appear in, outside of Japan?",Pokémon Red and Blue
Who voiced Jigglypuff in english?,Rachael Lillis
Do all bulbasaur in the Japanese version of the anime have the same voice actor?,no
What Pokemon type is Charmander?,Fire
Is it true that the Pleiades cluster is estimated to dissipate in another 250 million years?,yes
Do native Bengali words allow initial consonant clusters?,No
What is the leading occupation in Uttar Pradesh?,agriculture
Was Wang able to maintain the support of the common people during his regime? ,No 
"Who divided Scorpius into ""skate stars"" and ""shark stars?""",Bugis sailors
What was the most prominent kingdom based in Kerala?,Chera Dynasty
Which dynasty is traditionally considered the greatest age for Chinese poetry?,Tang
"As of 2002, does the Sun appear in the constellation Libra on November 14?",Yes
Who wrote the Old Book of Tang?,Liu Xu
What is one lasting legacy of Sui dynasty?,Grand Canal
Were Satoshi Tajiri and Ken Sugimori friends?,Yes
Who founded Wei?,Tabgach
What is the average velocity of Delta Aquarid meteor in kilometres per second?,13.2
In what year did Emperor Wu die?,550
What does it mean when Aries is depicted as lying down?,It means that Aries is associated with the head and its humors.
"In Braj Kachru's three circle model, is Jamacia in the inner circle?",No
"In the animated series, what did the Squirtle Squad need that caused the Squirtle with Ash's team to leave?",guidance
In what year did Chen Baxian fall and the throne was passed to his nephew Chen Geng?,559
What can Charizard's flames melt?,any material
Why was the Justice Party successful colonial India,Indian National Congress demanded complete indepence
When were Pokemon Red and Blue released?,1998
Was the development of English isolated?,No
Is facilitating domestic trade the initial reason of building Grand Canal?,No
What religion did Ubaidullah practice when he traveled to the Lakshadweep islands in 661 CE?,Islam
Who is credited as the main person behind Pikachu's design?,Atsuko Nishida.
"Is West Bengal's total area is greater than 80,000 square kilometers?",Yes
Who did emperor Chen Xu marry?,Liu Jingyan
"Is it common for Magikarp knowing moves other than Splash, Tackle, and Flail, to be awarded to players?",no
What is another language that is considered to be one of the two official languages of Pakistan except Urdu?,English
What strengthened dialectical differences and prevented the establishment of any standardized national language?,Feudal divisions and conflicts between rival polities
Is Cancer the dimmest of the zodiacal constellations?,no
Did Chen have Emperor Jing yield the throne to him in the summer?,No
What is the fastest growing language in Africa?,French
How many state government dispensaries does the state have?,13
Which constellation contains HIP 14810?,Aries
Is Sima Fei's wife a daughter of Emperor Jinlong?,No
What is the official language of Kerala?,Malayalam
"As of 2011, what percentage of West Bengal's religious population are not Hindus?",29.46
Are fruits grown in the Punjabi region?,Yes
What dynasty was the most long-lived and most powerful of the northern dynasties prior to the reunification of China?,the Northern Wei dynasty
What did Hangzhou used to be named in the Sui dynasty?,Yuhang
In which year did Luoyang become the capital of the Sui dynasty?,605
Does English belong only to people who are ethnically English?,no
Did the Shang and Zhou dynasty have different terms for their rulers?,No
What is the predominant ethno-linguistic group in Maharashtra?,The Marathi
What is the range of the end date of the Shang Dynasty as found by radiocarbon dating?,1031-1051 BC
Can most Galicians and Northern Portuguese understand each other? ,Yes 
How often does the star Lambda (λ) Tauri decrease in brightness?,every 3.953 days
Is Hindi a protected language in South Africa?,Yes
"What, like HIP 14810, is a G-type main sequence star?",HD 12661
What are long-lived Magikarp able to use their immense splashing power for?,leaping high enough to jump mountains
What year did Urdu become the official language in Pakistan,1947
Was Ptolemy's method of connecting the stars of Capricornus important?,Yes
When did the Shang rule?,from 1766 to 122 BC
Where does Rajasthan rank among Indian states in human development index?,29th
Who conqured the Shang Dynasty?,Wu of Zhou
What country is West Bengal in?,India
What is the official language of Andhra Pradesh?,Telegu
Does Uttar Pradesh top the list of states of encounter killings and custodial deaths?,Yes
Is Kerala the 13th-largest Indian state by population?,yes
What did Yuan Yue do when he realized that he could not defeat the Erzhus?,He returned to Liang.
Is the Yin dynasty the earliest dynasty of traditional Chinese history firmly supported by archaeological evidence?,Yes
Of how many countries is Portuguese an official language of?,7
Cui Hao was a significant member relevant to the Northern Wei emperors' desire for what?,Han Chinese institutions and advisors
Who designed Bulbasaur?,Atsuko Nishida.
Does Jigglypuff want to put people to sleep with its songs?,No.
What time of year does the scorpion come for Orion?,Summer
Where were Shang Dynasty's writings best preserved?,oracle bones
What is the national language of Bangladesh,Bengali
What was the capital of the Chen dynasty?,Jiankang
What animal does Nishida based Pikachu's original design on?,squirrels
"Which state straddles the Narmada River, means ""Central Province"" and is located in the geographic heart of India?",Madhya Pradesh
What moves can Magikarp learn by level in the first generation of games?,Splash and Tackle
"During the early 1700s, what was Urdu referred to as by European writers?",Moors
Can adjective be placed before the words they modify in Indonesian? ,No
What is located in the center of the Cancer constellation?,"Praesepe (Messier 44), an open cluster also called the Beehive Cluster"
Which Pokémon species is called Koikingu in Japan?,Magikarp
How many stars does the Praesepe cluster have?,About 50
What has IGN criticized Magikarp for?,low statistics and inability to learn moves from Technical or Hidden Machines
From which Celtic tribe's name is the luso- prefix derived from?,Lusitanians
Who was Snorlax created by?,Ken Sugimori
Does Snorlax have larger feet than most other Pokémon?,Yes
Does West Bengal have more than 91 million inhabitants?,Yes
Did the Jin Dynasty developed an alliance with the Tuoba against the Xiongnu state Han Zhao?,Yes
What is the sole working language at the Court of Justice of the European Union?,French
How many decimal places was pi calculated to during the Liu Song dynasty?,Seven
Which star represents the left shoulder,Beta Aquarii
Which artifact did Shu Yi use to memorialize his ancestors?,"an ancient bronze artifact, ""Shu Yi Zhong"""
Is Mewto in all Super Smash Bros games?,No
Where was the initial capital of Western Jin?,Luoyang
What was a lasting legacy of the Sui dynasty?,The Grand Canal
Who was injured during the battle of Charizard and Dragonite?,Dragonite
What does Aquarius mean in Latin?,water-carrier or cup-carrier
Is English the second-most spoken native language in the world?,No
Which literary tradition was founded by Amir Khusrau? ,Hindavi
What is the reason that causes northern China to have relative linguitsic homogeneity?,North China Plain has few barriers to migration
Is NGC 4438 a small planet?,No.
Is Karnataka a state in the northwestern region of India?,No
Can a fire-flying-dragon type Pokemon the own dragon type move skill set?,Yes.
Where are the ruins of the Indus Valley Civilization at Kalibangan and Balathal located?,Rajasthan
What are the notable characteristics of Magikarp?,"Large, heavy scales."
Was Punjab divided into two parts in 1940?,No
Who succeeded Liu Jun as emperor of the Liu Song dynasty?,Liu Ziye
What is the fourth most spoken language in the United States?,French
What is the third-largest state by area bordered by the Arabian Sea to the west?,Maharashtra
Who is the actor that voiced James in the original Japanese version of the Pokémon anime and voiced Charizard in both the Japanese and English-language versions of the anime?,Shin-ichiro Miki
Is English the largest language by number of speakers?,Yes
What is the written form of Standard Chinese in Taiwan?,traditional characters
What constellations are to the East of Sagittarius?,Capricornus and Microscopium.
Is it thought that Shennong Ben Cao Jing medical text was compiled by two people’s collaboration?,Yes
Is Snorlax the heaviest Pokeman?,No
What were the inhabitants of the Indo-Gangetic Plain originally referred as?,Hindi.
Is Cancer the dimmest of the zodiacal constellations?,no
Was Empress Hu killed by Erzhurong's order?,Yes
What was made the official language of China by the Qing Dynasty?,The variant of Mandarin spoken by educated classes in Beijing
Is Algieba more than 1260 light-years away from Earth?,No
Did the name Yin dynasty used widely throughout the dynasty?,No
In which Chinese Dynasty the three-legged iron seed drill was invented in?,The Han dynasty
"After the attempts of Gun to stop the flooding of the Yellow River had failed, who did the throne pass to?",Shun
What linguistic region was awarded the most Nobel Prizes in literature?,English 
What Indian states border Maharashtra on the south?,Karnataka and Goa
What is the official and national language of Bangladesh?,Bengali
What was responsible for the rebirth of culture in China under the Sui dynasty?,Buddhism
Is the White Horse temple China's first known buddhist temple?,Yes
"Is the Ranthambore National Park located in ""the land of kings""?",Yes
